# id, cityname, citycode, airportname, airportcode
8778,Soroako,SQR,Soroako,SQR
8779,Sorocaba,SOD,Bertram Luiz Leupolz,SOD
8780,Sorong,SOQ,Domine Eduard Osok,SOQ
8781,Soroti,SRT,Soroti,SRT
8782,Sorriso,SMT,Sorriso,SMT
8783,Souanke,SOE,Souanke,SOE
8784,Soure,SFK,Soure,SFK
8785,South Bend,SBN,International,SBN
8786,South West Bay,SWJ,South West Bay,SWJ
8787,Southampton,SOU,Southampton,SOU
8788,Southern Cross,SQC,Southern Cross,SQC
8789,Southport,SHQ,Southport,SHQ
8790,Soyo,SZA,Soyo,SZA
8791,Spangdahlem,SPM,Air Base,SPM
8792,Sparrevohn,SVW,Sparrevohn,SVW
8793,Sparta,SAR,Sparta Community,SAR
8794,Sparta,SPJ,Sparta,SPJ
8795,Spearfish,SPF,Black Hills,SPF
8796,Spencer,SPW,Municipal,SPW
8797,Split,SPU,Split,SPU
8798,Spokane,GEG,Felts Field,SFF
8799,Spokane,GEG,Fairchild AFB,SKA
8800,Spring Creek,SCG,Spring Creek,SCG
8801,Springbok,SBU,Springbok,SBU
8802,Springfield,SFY,Bradley International,BDL
8803,Springfield,SFY,Westover Metropolitan,CEF
8804,Springfield,SGF,Springfld-Branson Natl,SGF
8805,Springfield,SGH,Beckley Municipal,SGH
8806,Springfield,SPI,A.Lincoln Capital,SPI
8807,Srednekolymsk,SEK,Srednekolymsk,SEK
8808,Srinagar,SXR,Sheikh ul Alam,SXR
8809,St Barthelemy,SBH,Gustaf III,SBH
8810,St Catherine,SKV,International,SKV
8811,St Cloud,STC,Regional,STC
8812,St Croix Island,STX,Christiansted SPB,SSB
8813,St Croix Island,STX,Henry E. Rohlsen,STX
8814,St George,SGO,St George,SGO
8815,St George,SGU,Municipal,SGU
8816,St George Island,STG,St George Island,STG
8817,St John Island,SJF,Cruz Bay SPB,SJF
8818,St Johns,SJN,Industrial Air Park,SJN
8819,St Joseph,STJ,Rosecrans Memorial,STJ
8820,St Kitts,SKB,Robert L. Bradshaw Int,SKB
8821,St Louis,STL,Downtown Airport,CPS
8822,St Louis,STL,Lambert-St Louis Intl,STL
8823,St Louis,STL,Spirit Of St Louis,SUS
8824,St Lucia,SLU,George F.L. Charles,SLU
8825,St Lucia,SLU,Hewanorra Intl,UVF
8826,St Maarten,SXM,Princess Juliana Intl,SXM
8827,St Martin,SFG,Grand-Case L\Esperance,SFG
8828,St Marys,STQ,Municipal,STQ
8829,St Michael,SMK,St Michael,SMK
8830,St Moritz,SMV,Engadin,SMV
8831,St Paul Island,SNP,St Paul Island,SNP
8832,St Pauls,SVM,St Pauls,SVM
8833,St Thomas Island,STT,Charlotte Amalie SPB,SPB
8834,St Thomas Island,STT,Cyril E. King,STT
8835,St Vincent,SVD,E.T. Joshua,SVD
8836,Stanthorpe,SNH,Stanthorpe,SNH
8837,Stanton,SYN,Stanton,SYN
8838,Stara Zagora,SZR,Kolyu Ganchevo,SZR
8839,State College,SCE,University Park,SCE
8840,Statesville,SVH,Municipal,SVH
8841,Stauning,STA,Stauning,STA
8842,Staunton/Waynesboro,SHD,Shenandoah Valley Rgnl,SHD
8843,Stavanger,SVG,Sola,SVG
8844,Stavropol,STW,Shpakovskoye,STW
8845,Stawell,SWC,Stawell,SWC
8846,St-Brieuc,SBK,Armor,SBK
8847,Steamboat Springs,SBS,Bob Adams Field,SBS
8848,Stella Maris,SML,Stella Maris,SML
8849,Stephens Island,STF,Stephens Island,STF
8850,Stephenville,SEP,Clark Field Regional,SEP
8851,Sterling,STK,Municipal,STK
8852,Sterling/Rock Falls,SQI,Whiteside County,SQI
8853,Stevens Point,STE,Municipal,STE
8854,Stevens Village,SVS,Stevens Village,SVS
8855,Stewart Island,SZS,Ryan\s Creek,SZS
8856,St-Francois,SFC,St-Francois,SFC
8857,Stillwater,SWO,Regional,SWO
8858,St-Nazaire,SNR,Montoir,SNR
8859,Stockholm,SMP,Stockholm,SMP
8860,Stockholm,STO,Arlanda,ARN
8861,Stockholm,STO,Bromma,BMA
8862,Stockholm,STO,Skavsta,NYO
8863,Stockholm,STO,Vasteras,VST
8864,Stoelmanseiland,SMZ,Stoelmanseiland,SMZ
8865,Stokmarknes,SKN,Skagen,SKN
8866,Stony River,SRV,Stony River,SRV
8867,Stord,SRP,Sorstokken,SRP
8868,Storm Lake,SLB,Municipal,SLB
8869,Stornoway,SYY,Stornoway,SYY
8870,Storuman,SQO,Storuman,SQO
8871,Stradbroke Island,SRR,Dunwich,SRR
8872,Strahan,SRN,Strahan,SRN
8873,Strasbourg,SXB,Entzheim,SXB
8874,Strathmore,STH,Strathmore,STH
8875,Strezhevoy,SWT,Strezhevoy,SWT
8876,Stronsay,SOY,Stronsay,SOY
8877,Stroud,SUD,Municipal,SUD
8878,Stuart,SUA,Witham Field,SUA
8879,Stuart Island,SSW,Airpark,SSW
8880,Sturgeon Bay,SUE,Door County Cherryland,SUE
8881,Sturt Creek,SSK,Sturt Creek,SSK
8882,Stuttgart,SGT,Municipal,SGT
8883,Stuttgart,STR,Airport,STR
8884,St-Yan,SYT,St-Yan,SYT
8885,Stykkisholmur,SYK,Stykkisholmur,SYK
8886,Sua Pan,SXN,Sua Pan,SXN
8887,Suabi,SBE,Suabi,SBE
8888,Subic Bay,SFS,International,SFS
8889,Suceava,SCV,Stefan cel Mare,SCV
8890,Sucre,SRE,Alcantari,SRE
8891,Sucua,SUQ,Sucua,SUQ
8892,Sui,SUL,Sui,SUL
8893,Suki,SKC,Suki,SKC
8894,Sukkur,SKZ,Sukkur,SKZ
8895,Sulaco,SCD,Sulaco,SCD
8896,Sulayel,SLF,Sulayel,SLF
8897,Sullivan,SIV,Sullivan County,SIV
8898,Sulphur Springs,SLR,Municipal,SLR
